Name,Category,Colors,Price,Sizes,Count_Sizes,Color_Name,product_Code,Review,Rating,Features,Comfort,Brand
Air Huarache Runner,Men,5.0,12 795.00,"['7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13']",13.0,Cargo Khaki/Medium Olive/Sequoia/White,DZ3306-300,26.0,4.8," 
When it fits this well and looks this good, it doesn't need a Swoosh logo. The Air Huarache takes on a classic silhouette with a runner-inspired design, mixed materials and rich neutrals for a look that is both nostalgic and brand new. With its stretchy, foot-hugging fabric and futuristic heel cage, it's still everything you love about the Huarache.

Benefits
Inspired by water skiing, the stretchy upper and cushioned inner sleeve create a snug fit for an incredible feel.
Originally designed for performance running, Nike Air cushioning delivers lasting comfort.
A caged heel adds support and is paired with an elongated tongue to keep the early '90s look you love.

Product details
Rubber sole
Variable-width lacing
Not intended for use as Personal Protective Equipment (PPE)
Colour Shown: Cargo Khaki/Medium Olive/Sequoia/White
Style: DZ3306-300
Country/Region of Origin: China

Huarache Origins
The Nike Air Huarache released in 1991. Footwear designer Tinker Hatfield wanted to combine the fit of neoprene water-ski boots with the functionality of South American sandals. The instant hit found its way to basketball courts and then the streets, where it earned its status as an icon.","Inspired by water skiing, the stretchy upper and cushioned inner sleeve create a snug fit for an incredible feel.
Originally designed for performance running, Nike Air cushioning delivers lasting comfort.
A caged heel adds support and is paired with an elongated tongue to keep the early '90s look you love.",Nike
Air Force 1 '07,Women,5.0,8 195.00,"['5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5']",10.0,Fireberry/Fireberry/Fierce Pink,DD8959-600,870.0,,"LEGENDARY STYLE REFINED.

The radiance lives on in the Nike Air Force 1 '07, the b-ball icon that puts a fresh spin on what you know best: crisp leather, bold colours and the perfect amount of flash to make you shine.

Benefits
The stitched leather overlays on the upper add heritage style, durability and support.
Originally designed for hoops, Nike Air cushioning adds lightweight, all-day comfort.
The low-cut silhouette adds a clean, streamlined look.
The padded collar feels soft and comfortable.

Product Details
Foam midsole
Perforations on the toe
Colour Shown: Fireberry/Fireberry/Fierce Pink
Style: DD8959-600
Country/Region of Origin: Vietnam

Air Force 1 Origins
Debuting in 1982, the AF-1 was the first basketball shoe to house Nike Air, revolutionising the game while rapidly gaining traction around the world. Today, the Air Force 1 stays true to its roots with the same soft and springy cushioning that changed sneaker history.","The stitched leather overlays on the upper add heritage style, durability and support.
Originally designed for hoops, Nike Air cushioning adds lightweight, all-day comfort.
The low-cut silhouette adds a clean, streamlined look.
The padded collar feels soft and comfortable.",Nike
Air Force 1 '07 EasyOn,Women,1.0,9 695.00,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10']",9.0,White/White/White,DX5883-100,119.0,," 
Quicker than 1, 2, 3—the original hoops shoe lets you step in and get going. Its easy-entry EasyOn system gives you a hands-free experience. Crisp leather dons the cleanest colour for the ultimate wearability. Yeah, it's everything you love and then some.

Benefits
To reflect our commitment to make more Nike products easier to wear and use for every body, we changed the name of FlyEase to EasyOn.
From tough stitching to pristine materials to the cupsole design, it delivers durable style that's smoother than backboard glass.
Originally designed for performance hoops, Nike Air cushioning delivers lasting comfort.
Rubber outsole with classic pivot circle pattern adds traction and durability.
Padded, low-cut collar looks sleek and feels great.
Colour Shown: White/White/White
Style: DX5883-100
Country/Region of Origin: Vietnam

Air Force 1
Debuting in 1982 as a basketball must-have, the Air Force 1 came into its own in the '90s. The clean look of the classic white-on-white AF-1 was endorsed from the basketball courts to the street and beyond. Finding its rhythm in hip-hop culture, releasing limited collabs and colourways, Air Force 1 became an iconic sneaker around the globe. And with over 2,000 iterations of this staple, its impact on fashion, music and sneaker culture can't be denied.","To reflect our commitment to make more Nike products easier to wear and use for every body, we changed the name of FlyEase to EasyOn.
From tough stitching to pristine materials to the cupsole design, it delivers durable style that's smoother than backboard glass.
Originally designed for performance hoops, Nike Air cushioning delivers lasting comfort.
Rubber outsole with classic pivot circle pattern adds traction and durability.
Padded, low-cut collar looks sleek and feels great.
Colour Shown: White/White/White
Style: DX5883-100
Country/Region of Origin: Vietnam",Nike
Air Jordan 1 Low SE,Women,2.0,10 295.00,"['5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10']",11.0,Pink Blast/Sail/Chile Red,FB9893-600,7.0,4.1," 
Low-top but never low profile. Inspired by the original that debuted in '85, this AJ1 offers a clean, classic look that's familiar yet always fresh. Pairing full-grain leather overlays with satin underlays gives these Js an extra-smooth look and feel.

Benefits
Encapsulated Nike Air-Sole unit provides lightweight cushioning.
The outsole enhances traction on various surfaces.
Colour Shown: Pink Blast/Sail/Chile Red
Style: FB9893-600
Country/Region of Origin: Vietnam","Encapsulated Nike Air-Sole unit provides lightweight cushioning.
The outsole enhances traction on various surfaces.
Colour Shown: Pink Blast/Sail/Chile Red
Style: FB9893-600
Country/Region of Origin: Vietnam",Nike
Jordan Stadium 90,Women,3.0,12 795.00,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '11']",11.0,White/Sky J Light Olive/Galactic Jade,FB2269-103,2.0,4.5," 
Evolve your game. The Stadium 90 takes elements from the greats and forges them into something entirely unique. Combining iconic design elements from the AJ1 and AJ5, this is a new classic with an emphasis on comfort, durability and stability.

Benefits
The moulded collar is inspired by the AJ5.
The AJ1-inspired rubber outsole provides everyday traction.
A tonal stitching design detail echoes the iconic fire graphic from the AJ5.
Durable upper is made from real leather, synthetic leather and textile materials.
Nike Air technology absorbs impact for cushioning with every step.
Colour Shown: White/Sky J Light Olive/Galactic Jade
Style: FB2269-103
Country/Region of Origin: China","The moulded collar is inspired by the AJ5.
The AJ1-inspired rubber outsole provides everyday traction.
A tonal stitching design detail echoes the iconic fire graphic from the AJ5.
Durable upper is made from real leather, synthetic leather and textile materials.
Nike Air technology absorbs impact for cushioning with every step.
Colour Shown: White/Sky J Light Olive/Galactic Jade
Style: FB2269-103
Country/Region of Origin: China",Nike
Air Max 90 SE,Women,1.0,12 795.00,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5']",9.0,Khaki/Baroque Brown/Dark Russet/Medium Olive,FV1176-247,0.0,0.0," 
Nothing as fly, nothing as comfortable, nothing as proven. This special edition AM90 is all about durability and versatility. Variable lacing lets you switch up your style, while mixed materials add texture, depth and a rugged look to your journey.

Benefits
The lace toggle lets you easily adjust your fit.
The upper combines suede and textile with rubber accents for a layered look.
Originally designed for performance running, the Max Air unit in the heel adds unbelievable cushioning.
Rubber Waffle outsole adds durable traction and heritage style.
Colour Shown: Khaki/Baroque Brown/Dark Russet/Medium Olive
Style: FV1176-247
Country/Region of Origin: Vietnam

Nike Air Max Origins
Revolutionary Air technology first made its way into Nike footwear in 1978. In 1987, the Air Max 1 debuted with visible Air technology in its heel, allowing fans more than just the feel of Air cushioning—suddenly they could see it. Since then, next-generation Air Max shoes have become a hit with athletes and collectors by offering striking colour combinations and reliable, lightweight cushioning.","The lace toggle lets you easily adjust your fit.
The upper combines suede and textile with rubber accents for a layered look.
Originally designed for performance running, the Max Air unit in the heel adds unbelievable cushioning.
Rubber Waffle outsole adds durable traction and heritage style.
Colour Shown: Khaki/Baroque Brown/Dark Russet/Medium Olive
Style: FV1176-247
Country/Region of Origin: Vietnam",Nike
Dunk Low SE,Women,1.0,9 695.00,"['5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10']",11.0,White/Black/Multi-Colour,FD8683-100,1.0,5.0," 
These classic Dunks get a metamorphous refresh inspired by the merging of digital and physical worlds. Jewel-like hardware, holographic accents and a special JDI dubrae add the finishing touch so you can take centre stage in style.

Benefits
Leather on the upper ages to soft perfection.
Foam midsole offers lightweight, responsive cushioning.
Rubber outsole with hoops pivot circle adds durable traction and heritage style.
Plush, low-cut collar looks sleek and feels great.
Colour Shown: White/Black/Multi-Colour
Style: FD8683-100
Country/Region of Origin: Indonesia

Nike Dunk
From backboards to skateboards, the influence of the Nike Dunk is undeniable. Although introduced as a basketball shoe in 1985, its flat and grippy soles were perfect for a neglected sport community—skaters. Uncovering a subculture craving creativity as much as function, the Dunk released decades of countless colourways that continue to capture the soul of skaters from coast to coast.","Leather on the upper ages to soft perfection.
Foam midsole offers lightweight, responsive cushioning.
Rubber outsole with hoops pivot circle adds durable traction and heritage style.
Plush, low-cut collar looks sleek and feels great.
Colour Shown: White/Black/Multi-Colour
Style: FD8683-100
Country/Region of Origin: Indonesia",Nike
Air Jordan 1 Low,Women,3.0,8 295.00,"['5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9']",9.0,Pure Platinum/White/Sky J Orange,DC0774-080,374.0,4.8,"LOW ON THE GO.

Always in, always fresh. The Air Jordan 1 Low sets you up with a piece of Jordan history and heritage that's comfortable all day. Choose your colours, then step out in the iconic profile that's built with a high-end mix of materials and encapsulated Air in the heel.

High-End Materials
For this go, the Low features a high-end mix of leather and synthetic materials in the upper.

Air Within
An Air unit is encapsulated in the heel, giving you lightweight cushioning that's been a sensation for more than a generation.

Timeless Trims
The Wings logo on the heel, a Jumpman design on the tongue and a ""23"" lace tab trim the shoe with iconic details.

Product Details
Wings logo on the heel
Stitched Swoosh design
Perforated toe
Foam midsole
Rubber traction
Colour Shown: Pure Platinum/White/Sky J Orange
Style: DC0774-080
Country/Region of Origin: China","Wings logo on the heel
Stitched Swoosh design
Perforated toe
Foam midsole
Rubber traction
Colour Shown: Pure Platinum/White/Sky J Orange
Style: DC0774-080
Country/Region of Origin: China",Nike
Air Max 1,Women,5.0,12 795.00,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '11']",11.0,Sail/Red Stardust/Coconut Milk/Cedar,DZ2628-103,62.0,4.6," 
Meet the leader of the pack. Walking on clouds above the noise, the Air Max 1 blends timeless design with cushioned comfort. Sporting a fast-paced look, wavy mudguard and Nike Air, this classic icon hit the scene in '87 and continues to be the soul of the franchise today.

Benefits
The mixed materials add durability that's made for everyday wear and city life.
Originally designed for performance running, the visible Max Air unit provides all-day cushioning.
Padded, low-cut collar looks sleek and feels comfortable.
Wavy mudguard and pill-shaped Nike Air window keep the classic look you love.
Rubber outsole gives you durable traction.
Colour Shown: Sail/Red Stardust/Coconut Milk/Cedar
Style: DZ2628-103
Country/Region of Origin: China

Air Max 1
Sure, Air Max 1 started as a running shoe, but you can't keep innovation contained. Adopted by hip-hop culture, this runner with a controversial exposed Air unit could be found anywhere from the heart of Brooklyn to the streets of London. Its cutting-edge design and striking colourways, to this day, are celebrated year after year.","The mixed materials add durability that's made for everyday wear and city life.
Originally designed for performance running, the visible Max Air unit provides all-day cushioning.
Padded, low-cut collar looks sleek and feels comfortable.
Wavy mudguard and pill-shaped Nike Air window keep the classic look you love.
Rubber outsole gives you durable traction.
Colour Shown: Sail/Red Stardust/Coconut Milk/Cedar
Style: DZ2628-103
Country/Region of Origin: China",Nike
Air Force 1 '07,Women,1.0,10 795.00,"['5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10']",11.0,White/Black/Multi-Colour,FB8251-100,25.0,4.6," 
Comfortable, durable and timeless—it's number 1 for a reason. The classic '80s construction gets a metamorphous refresh inspired by the merging of digital and physical worlds. Jewel-like hardware, holographic accents and a special JDI dubrae add the finishing touch so you can take centre stage in style.

Benefits
Leather upper ages to soft perfection.
Originally designed for performance hoops, Nike Air cushioning adds lightweight, all-day comfort.
Rubber outsole with hoops pivot circle adds durable traction and heritage style.
Plush, low-cut collar looks sleek and feels great.

Product details
Stitched overlays
Foam midsole
Perforations on the toe
Colour Shown: White/Black/Multi-Colour
Style: FB8251-100
Country/Region of Origin: Indonesia

Air Force 1
Debuting in 1982 as a basketball must-have, the Air Force 1 came into its own in the '90s. The clean look of the classic white-on-white AF-1 was endorsed from the basketball courts to the street and beyond. Finding its rhythm in hip-hop culture, releasing limited collabs and colourways, Air Force 1 became an iconic sneaker around the globe. And with over 2,000 iterations of this staple, its impact on fashion, music and sneaker culture can't be denied.","Leather upper ages to soft perfection.
Originally designed for performance hoops, Nike Air cushioning adds lightweight, all-day comfort.
Rubber outsole with hoops pivot circle adds durable traction and heritage style.
Plush, low-cut collar looks sleek and feels great.",Nike
Blazer Low '77 Jumbo,Women,4.0,8 595.00,"['5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",13.0,Black/Black/Team Orange/White,DQ1470-002,63.0,4.5,"EASY TO WEAR GETS BIG AND BOLD.

They say, ""Don't fix what works"". We say, ""Perfect it"". This streetwear superstar gets revamped with jumbo-sized details. Harnessing the old-school look you love, the Nike Blazer Low '77 Jumbo features an oversized Swoosh design, extra-wide laces and thicker stitching.

Benefits
Jumbo laces are much easier to tie and add a bold look to any outfit.
Capturing the essence of the classic Blazer, the stitched leather overlays and soft suede accent on the toe add heritage hoops style.
Extra-thick thread for the stitching adds a bold, defiant touch.
Raised herringbone pattern on the rubber outsole exaggerates the classic look while providing traction.

Product Details
Exposed foam tongue
Jumbo laces
Thick thread stitching
Oversized woven label
Colour Shown: Black/Black/Team Orange/White
Style: DQ1470-002
Country/Region of Origin: Vietnam

Blazer Origins
Originally introduced in 1972 as a basketball shoe, the Blazer has since transformed into a modern staple for skaters and sneakerheads alike. Maturing from a simple canvas high top to a leather mid top and casual low top, this shoe just gets better with age.","Jumbo laces are much easier to tie and add a bold look to any outfit.
Capturing the essence of the classic Blazer, the stitched leather overlays and soft suede accent on the toe add heritage hoops style.
Extra-thick thread for the stitching adds a bold, defiant touch.
Raised herringbone pattern on the rubber outsole exaggerates the classic look while providing traction.",Nike
Cortez,Women,3.0,7 495.00,"['5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",13.0,White/Light Photo Blue/Sail/Black,DN1791-100,40.0,," 
One word: tradition. From heritage running to fashion phenom, its retro appeal, sponge-soft midsole and see-saw detailing deliver decade after decade. This iteration offers easy-to-style colours with a vintage vibe.

Benefits
Inspired by the '72 original, the foam midsole with iconic wedge insert delivers comfort from the get-go.
Leather upper is easy to clean and easy to style.
Rubber sole with herringbone pattern gives you plenty of traction.
Padded, low-cut collar looks sleek and feels great.
Colour Shown: White/Light Photo Blue/Sail/Black
Style: DN1791-100
Country/Region of Origin: Indonesia

Cortez Origins
The Nike Cortez was designed in 1972 by Nike co-founder Bill Bowerman to be lighter and more comfortable than any other. It quickly became the most popular running shoe in the country and has transformed into an unmistakable icon, woven into pop culture history.","Inspired by the '72 original, the foam midsole with iconic wedge insert delivers comfort from the get-go.
Leather upper is easy to clean and easy to style.
Rubber sole with herringbone pattern gives you plenty of traction.
Padded, low-cut collar looks sleek and feels great.
Colour Shown: White/Light Photo Blue/Sail/Black
Style: DN1791-100
Country/Region of Origin: Indonesia",Nike
Air Force 1 '07,Women,1.0,9 695.00,"['5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12']",15.0,Sail/Pale Vanilla/Gold Suede/Deep Royal Blue,FQ8103-133,0.0,0.0," 
The radiance lives on in the Air Force 1 '07. This b-ball icon puts a fresh spin on what you know best: crisp leather, bold colours and just the right amount of cushioning. Exposed foam on the tongue and an aged neutral palette throw it back to an era that can only be described as heritage.

Benefits
The stitched leather overlays on the upper soften and gain vintage character with wear.
Originally designed for basketball, the Nike Air cushioning adds lightweight, all-day comfort.
Padded, low-cut collar looks sleek and feels great.

Product details
Exposed foam tongue
Foam midsole
Perforations on the toe box
Colour Shown: Sail/Pale Vanilla/Gold Suede/Deep Royal Blue
Style: FQ8103-133
Country/Region of Origin: Vietnam

Air Force 1 Origins
Debuting in 1982, the AF-1 was the first basketball shoe to house Nike Air, revolutionising the game while rapidly gaining traction around the world. Today, the Air Force 1 stays true to its roots with the same soft and springy cushioning that changed sneaker history.","The stitched leather overlays on the upper soften and gain vintage character with wear.
Originally designed for basketball, the Nike Air cushioning adds lightweight, all-day comfort.
Padded, low-cut collar looks sleek and feels great.",Nike
