Shoename,Category,No.Of_colors,Price,Count_of_sizes,Name_ of_colors,Product_code,Review,Sizes,Comfort,Features,star_rating
Columbia Men Brown Plateau Venture,Men,2,"7,999",6,"Peatmoss, Black", BM7536-213,0,"['UK-7', 'UK-8', 'UK-9', 'UK-10', 'UK-11', 'UK-12']",Techlite lightweight midsole for long lasting comfort,"Omni-Grip non-marking traction rubber
Techlite lightweight midsole for long lasting comfort
superior cushioning
and high energy return
Omni-SHIELD water and stain resistant treatment
Suede textile and overlays for outdoor protection and a moder",0
Columbia Men Grey CRESTWOOD MID Water Resistant Shoes,Men,4,"9,999",3,"Light Cloud, Sea Salt", BM5371-020,60,"['UK-7', 'UK-8', 'UK-9']",Techlite™ lightweight midsole for long lasting comfort,"Omni-Grip™ non-marking traction rubber.
Techlite™ lightweight midsole for long lasting comfort
superior cushioning
and high energy return.
Combination upper featuring leather
mesh and webbing.
Omni-Tech™ waterproof breathable construction.
Please n",4
Columbia Men Brown CRESTWOOD MID Water Resistant Shoes,Men,4,"9,999",2,"Cordovan, Squash", BM5371-231,58,"['UK-7', 'UK-8']",Techlite™ lightweight midsole for long lasting comfort,"Omni-Grip™ non-marking traction rubber.
Techlite™ lightweight midsole for long lasting comfort
superior cushioning
and high energy return.
Combination upper featuring leather
mesh and webbing.
Omni-Tech™ waterproof breathable construction.
Please n",4
Columbia Men Green Crestwood Mid Water Resistant Shoes,Men,4,"9,999",1,"Nori, Black", BM5371-384,30,['UK-8'],Techlite lightweight midsole for long lasting comfort,"Omni-Grip non-marking traction rubber
Techlite lightweight midsole for long lasting comfort
superior cushioning
and high energy return
Combination upper featuring leather
mesh and webbing
Omni-Tech waterproof breathable construction.",4
Columbia Men Blue Crestwood Mid Water Resistant Shoes,Men,4,"9,999",3,"Collegiate Navy, Black", BM5371-468,30,"['UK-7', 'UK-8', 'UK-9']",Techlite lightweight midsole for long lasting comfort,"Omni-Grip non-marking traction rubber
Techlite lightweight midsole for long lasting comfort
superior cushioning
and high energy return
Combination upper featuring leather
mesh and webbing
Omni-Tech waterproof breathable construction.",4
Columbia Men Brown CRESTWOOD Water Resistant Shoes,Men,3,"8,099",5,"Oatmeal, Beach", BM5372-241,91,"['UK-7', 'UK-8', 'UK-9', 'UK-10', 'UK-11']",Techlite™ lightweight midsole for long lasting comfort,"Omni-Grip™ non-marking traction rubber.
Techlite™ lightweight midsole for long lasting comfort
superior cushioning
and high energy return.
Combination upper featuring leather
mesh and webbing.
Omni-Tech™ waterproof breathable construction.
Please n",4
Columbia Men Grey Crestwood Water Resistant Shoes,Men,3,"8,999",3,"Graphite, Dark Adobe", BM5372-053,30,"['UK-7', 'UK-8', 'UK-9']",Techlite lightweight midsole for long lasting comfort,"Omni-Grip non-marking traction rubber
Techlite lightweight midsole for long lasting comfort
superior cushioning
and high energy return
Combination upper featuring leather
mesh and webbing
Omni-Tech waterproof breathable construction.",4
Columbia Men Brown Crestwood Water Resistant Shoes,Men,3,"8,999",5,"Mud, Squash", BM5372-255,47,"['UK-7', 'UK-8', 'UK-9', 'UK-10', 'UK-12']",Techlite lightweight midsole for long lasting comfort,"Omni-Grip non-marking traction rubber
Techlite lightweight midsole for long lasting comfort
superior cushioning
and high energy return
Combination upper featuring leather
mesh and webbing
Omni-Tech waterproof breathable construction.",4
Columbia Men BROWN Plateau Venture,Men,2,"7,999",5,"Mud, Abyss", BM7536-255,0,"['UK-7', 'UK-8', 'UK-9', 'UK-11', 'UK-12']",Techlite lightweight midsole for long lasting comfort,"Omni-Grip non-marking traction rubber
Techlite lightweight midsole for long lasting comfort
superior cushioning
and high energy return
Omni-SHIELD water and stain resistant treatment. Suede textile and overlays for outdoor protection and a moder",0
Columbia Men Brown Plateau Venture,Men,2,"7,999",6,"Peatmoss, Black", BM7536-213,0,"['UK-7', 'UK-8', 'UK-9', 'UK-10', 'UK-11', 'UK-12']",Techlite lightweight midsole for long lasting comfort,"Omni-Grip non-marking traction rubber
Techlite lightweight midsole for long lasting comfort
superior cushioning
and high energy return
Omni-SHIELD water and stain resistant treatment
Suede textile and overlays for outdoor protection and a moder",0
Columbia Men Grey CRESTWOOD MID Water Resistant Shoes,Men,4,"9,999",3,"Light Cloud, Sea Salt", BM5371-020,60,"['UK-7', 'UK-8', 'UK-9']",Techlite™ lightweight midsole for long lasting comfort,"Omni-Grip™ non-marking traction rubber.
Techlite™ lightweight midsole for long lasting comfort
superior cushioning
and high energy return.
Combination upper featuring leather
mesh and webbing.
Omni-Tech™ waterproof breathable construction.
Please n",4
Columbia Men Brown CRESTWOOD MID Water Resistant Shoes,Men,4,"9,999",2,"Cordovan, Squash", BM5371-231,58,"['UK-7', 'UK-8']",Techlite™ lightweight midsole for long lasting comfort,"Omni-Grip™ non-marking traction rubber.
Techlite™ lightweight midsole for long lasting comfort
superior cushioning
and high energy return.
Combination upper featuring leather
mesh and webbing.
Omni-Tech™ waterproof breathable construction.
Please n",4
Columbia Men Green Crestwood Mid Water Resistant Shoes,Men,4,"9,999",1,"Nori, Black", BM5371-384,30,['UK-8'],Techlite lightweight midsole for long lasting comfort,"Omni-Grip non-marking traction rubber
Techlite lightweight midsole for long lasting comfort
superior cushioning
and high energy return
Combination upper featuring leather
mesh and webbing
Omni-Tech waterproof breathable construction.",4
Columbia Men Blue Crestwood Mid Water Resistant Shoes,Men,4,"9,999",3,"Collegiate Navy, Black", BM5371-468,30,"['UK-7', 'UK-8', 'UK-9']",Techlite lightweight midsole for long lasting comfort,"Omni-Grip non-marking traction rubber
Techlite lightweight midsole for long lasting comfort
superior cushioning
and high energy return
Combination upper featuring leather
mesh and webbing
Omni-Tech waterproof breathable construction.",4
Columbia Men Brown CRESTWOOD Water Resistant Shoes,Men,3,"8,099",5,"Oatmeal, Beach", BM5372-241,91,"['UK-7', 'UK-8', 'UK-9', 'UK-10', 'UK-11']",Techlite™ lightweight midsole for long lasting comfort,"Omni-Grip™ non-marking traction rubber.
Techlite™ lightweight midsole for long lasting comfort
superior cushioning
and high energy return.
Combination upper featuring leather
mesh and webbing.
Omni-Tech™ waterproof breathable construction.
Please n",4
Columbia Men Grey Crestwood Water Resistant Shoes,Men,3,"8,999",3,"Graphite, Dark Adobe", BM5372-053,30,"['UK-7', 'UK-8', 'UK-9']",Techlite lightweight midsole for long lasting comfort,"Omni-Grip non-marking traction rubber
Techlite lightweight midsole for long lasting comfort
superior cushioning
and high energy return
Combination upper featuring leather
mesh and webbing
Omni-Tech waterproof breathable construction.",4
Columbia Men Brown Crestwood Water Resistant Shoes,Men,3,"8,999",5,"Mud, Squash", BM5372-255,47,"['UK-7', 'UK-8', 'UK-9', 'UK-10', 'UK-12']",Techlite lightweight midsole for long lasting comfort,"Omni-Grip non-marking traction rubber
Techlite lightweight midsole for long lasting comfort
superior cushioning
and high energy return
Combination upper featuring leather
mesh and webbing
Omni-Tech waterproof breathable construction.",4
Columbia Men BLACK Hood River Slide,Men,2,"3,499",4,"Black, White", BM0166-010,36,"['UK-7', 'UK-8', 'UK-9', 'UK-10']",Outsole grade EVA with molded rubber pods,"Soft and comfortable one piece strap
Outsole grade EVA with molded rubber pods
EVA comfort midsole.",4
Columbia Men Blue Hood River Slide,Men,2,"3,499",4,"Mountain, Admiral", BM0166-441,38,"['UK-7', 'UK-8', 'UK-9', 'UK-10']",Outsole grade EVA with molded rubber pods,"Soft and comfortable one piece strap
Outsole grade EVA with molded rubber pods
EVA comfort midsole.",4
Columbia Men BLACK Breaksider Sandal,Men,2,"5,999",4,"Black, Graphite", BM0486-010,0,"['UK-7', 'UK-8', 'UK-9', 'UK-10']",Traction rubber outsole,"EVA comfort midsole
Traction rubber outsole
Webbing sandal with 3 adjustable hook and loop straps for the perfect fit.",0
Columbia Men GREEN Breaksider Sandal,Men,2,"5,999",4,"Mosstone, Golden Yellow", BM0486-302,0,"['UK-7', 'UK-8', 'UK-9', 'UK-10']",Traction rubber outsole,"EVA comfort midsole
Traction rubber outsole
Webbing sandal with 3 adjustable hook and loop straps for the perfect fit.",0
Columbia Men Grey RE-PEAK MID,Men,2,"9,999",2,"DARK GREY, BLACK", BM6940-089,0,"['UK-7', 'UK-8']",Recycled mesh upper with eco-friendly leather overlays and lining. Along with recycled laces and webbings,"Omni-Shield water and stain resistant treatment
Recycled mesh upper with eco-friendly leather overlays and lining. Along with recycled laces and webbings
OrthoLite Eco insole is compromised of 17% of total eco content delivering enhanced breathabili",0
Columbia Men Brown RE-PEAK MID,Men,2,"9,999",5,"Canvas Tan, Black", BM6940-247,0,"['UK-7', 'UK-8', 'UK-9', 'UK-10', 'UK-11']",Recycled mesh upper with eco-friendly leather overlays and lining. Along with recycled laces and webbings,"Omni-Shield water and stain resistant treatment
Recycled mesh upper with eco-friendly leather overlays and lining. Along with recycled laces and webbings
OrthoLite Eco insole is compromised of 17% of total eco content delivering enhanced breathabili",0
Columbia Men Black PEAKFREAK II OUTDRY (Complete Waterproof),Men,2,"10,999",2,"Black, White", BM5953-012,31,"['UK-7', 'UK-8']",TECHLITE PLUS+™ Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail.,"eptional traction in wet and dry conditions.
TECHLITE PLUS+™ Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail.
NAVIC FIT SYSTEM™ delivers a natural midfoot lock dow",5
Columbia Men Brown Peakfreak II Outdry (Complete Waterproof),Men,2,"10,999",4,"Canvas Tan, Black", BM5953-247,21,"['UK-7', 'UK-8', 'UK-9', 'UK-10']",Techlite+ Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail,"Adapt Trax outsole provides exceptional traction in wet and dry conditions
Techlite+ Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail
NAVIC FIT SYSTEM deli",5
Columbia Men GREEN HATANA MAX OUTDRY,Men,2,"10,999",1,"Deep Water, Spark", BM0659-317,0,['UK-12'],Adapt Trax outsole provides exceptional traction in wet and dry conditions,"Navic Fit System delivers a natural midfoot lock down
Adapt Trax outsole provides exceptional traction in wet and dry conditions
Techlite+ Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior co",0
Columbia Men Black HATANA MAX OUTDRY (Complete Waterproof),Men,2,"10,999",3,"Black, White", BM0659-010,0,"['UK-7', 'UK-9', 'UK-10']",Adapt Trax outsole provides exceptional traction in wet and dry conditions.,"Navic Fit System delivers a natural midfoot lock down.
Adapt Trax outsole provides exceptional traction in wet and dry conditions.
Techlite+ Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfo",0
Columbia Men Brown REDMOND V2 Water Resistant Shoes,Men,1,"7,999",3,"Mud, Dark Adobe", BM0834-255,0,"['UK-7', 'UK-9', 'UK-11']","Combination suede leather, mesh and webbing. Omni-Techwaterproof breathable seam-sealed membrane bootie construction","Omni-Gripnon-marking traction rubber
Combination suede leather, mesh and webbing. Omni-Techwaterproof breathable seam-sealed membrane bootie construction
Techlitelightweight midsole for long lasting comfort, superior cushioning, and high energy return",0
Columbia Men BLACK Trailstorm Hiker 3 Strap,Men,2,"6,999",1,"Kettle, Black", BM8210-005,4,['UK-10'],Suede and synthetic leather with three hook and loop closure straps for adjustable fit,"Adapt Trax outsole provides exceptional traction in wet and dry conditions
Suede and synthetic leather with three hook and loop closure straps for adjustable fit
Techlite+ delivers responsive cushioning and stability
without sacrificing comfort. Su",5
Columbia Men Brown TRAILSTORM HIKER 3 STRAP,Men,2,"6,999",3,"Cordovan, Gold Amber", BM8210-231,4,"['UK-7', 'UK-8', 'UK-10']",Suede and synthetic leather with three hook and loop closure straps for adjustable fit,"Adapt Trax outsole provides exceptional traction in wet and dry conditions
Suede and synthetic leather with three hook and loop closure straps for adjustable fit
Techlite+ delivers responsive cushioning and stability
without sacrificing comfort. Su",5
Columbia Men BROWN Columbia 2 Strap,Men,2,"5,999",4,"Cordovan, Curry", BM0111-231,37,"['UK-7', 'UK-8', 'UK-9', 'UK-10']",Omni-Grip non-marking wet traction rubber,"Synthetic upper with hook and loop closure straps
Omni-Grip non-marking wet traction rubber
2 part midsole: Plush TechLite footbed framed by firmer TechLite frame for added support
Antimicrobial treatment on footbed.",4
Columbia Men GREEN Columbia 2 Strap,Men,2,"5,999",4,"Gravel, Black", BM0111-339,46,"['UK-7', 'UK-8', 'UK-9', 'UK-10']",Omni-Grip non-marking wet traction rubber,"Synthetic upper with hook and loop closure straps
Omni-Grip non-marking wet traction rubber
2 part midsole: Plush TechLite footbed framed by firmer TechLite frame for added support
Antimicrobial treatment on footbed.",4
Columbia Men BROWN Hatana Breathe,Men,2,"9,999",3,"Pebble, Black", BM7444-227,0,"['UK-7', 'UK-8', 'UK-9']",Techlite+ Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail,"Adapt Trax outsole provides exceptional traction in wet and dry conditions
Techlite+ Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail
Breathable open cell m",0
Columbia Men GREEN Hatana Breathe,Men,2,"9,999",4,"Nori, Gold Amber", BM7444-383,0,"['UK-6', 'UK-7', 'UK-9', 'UK-11']",Techlite+ Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail,"Adapt Trax outsole provides exceptional traction in wet and dry conditions
Techlite+ Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail
Breathable open cell m",0
Columbia Men BROWN Columbia 2 Strap,Men,2,"5,999",4,"Cordovan, Curry", BM0111-231,37,"['UK-7', 'UK-8', 'UK-9', 'UK-10']",Omni-Grip non-marking wet traction rubber,"Synthetic upper with hook and loop closure straps
Omni-Grip non-marking wet traction rubber
2 part midsole: Plush TechLite footbed framed by firmer TechLite frame for added support
Antimicrobial treatment on footbed.",4
Columbia Men GREEN Columbia 2 Strap,Men,2,"5,999",4,"Gravel, Black", BM0111-339,46,"['UK-7', 'UK-8', 'UK-9', 'UK-10']",Omni-Grip non-marking wet traction rubber,"Synthetic upper with hook and loop closure straps
Omni-Grip non-marking wet traction rubber
2 part midsole: Plush TechLite footbed framed by firmer TechLite frame for added support
Antimicrobial treatment on footbed.",4
Columbia Men BLACK Thrive Revive,Men,3,"6,499",2,"Black, Black", BM8043-010,26,"['UK-7', 'UK-9']",Techlite plus Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail,"Adapt Trax outsole provides exceptional traction in wet and dry conditions
Techlite plus Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail
Seamless mesh with asy",5
Columbia Men BROWN Thrive Revive,Men,3,"6,499",3,"Dark Stone, Dark Stone", BM8043-278,26,"['UK-8', 'UK-9', 'UK-10']",Techlite plus Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail,"Adapt Trax outsole provides exceptional traction in wet and dry conditions
Techlite plus Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail
Seamless mesh with asy",5
Columbia Men GREEN Thrive Revive,Men,3,"6,499",3,"Mosstone, Mosstone", BM8043-302,24,"['UK-8', 'UK-9', 'UK-10']",Techlite plus Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail,"Adapt Trax outsole provides exceptional traction in wet and dry conditions
Techlite plus Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail
Seamless mesh with asy",5
Columbia Men BLACK Breaksider Sandal,Men,2,"5,999",4,"Black, Graphite", BM0486-010,0,"['UK-7', 'UK-8', 'UK-9', 'UK-10']",Traction rubber outsole,"EVA comfort midsole
Traction rubber outsole
Webbing sandal with 3 adjustable hook and loop straps for the perfect fit.",0
Columbia Men GREEN Breaksider Sandal,Men,2,"5,999",4,"Mosstone, Golden Yellow", BM0486-302,0,"['UK-7', 'UK-8', 'UK-9', 'UK-10']",Traction rubber outsole,"EVA comfort midsole
Traction rubber outsole
Webbing sandal with 3 adjustable hook and loop straps for the perfect fit.",0
Columbia Men BROWN Hatana Breathe,Men,2,"9,999",3,"Pebble, Black", BM7444-227,0,"['UK-7', 'UK-8', 'UK-9']",Techlite+ Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail,"Adapt Trax outsole provides exceptional traction in wet and dry conditions
Techlite+ Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail
Breathable open cell m",0
Columbia Men GREEN Hatana Breathe,Men,2,"9,999",4,"Nori, Gold Amber", BM7444-383,0,"['UK-6', 'UK-7', 'UK-9', 'UK-11']",Techlite+ Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail,"Adapt Trax outsole provides exceptional traction in wet and dry conditions
Techlite+ Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail
Breathable open cell m",0
Columbia Men BLACK Hood River Slide,Men,2,"3,499",4,"Black, White", BM0166-010,36,"['UK-7', 'UK-8', 'UK-9', 'UK-10']",Outsole grade EVA with molded rubber pods,"Soft and comfortable one piece strap
Outsole grade EVA with molded rubber pods
EVA comfort midsole.",4
Columbia Men Blue Hood River Slide,Men,2,"3,499",4,"Mountain, Admiral", BM0166-441,38,"['UK-7', 'UK-8', 'UK-9', 'UK-10']",Outsole grade EVA with molded rubber pods,"Soft and comfortable one piece strap
Outsole grade EVA with molded rubber pods
EVA comfort midsole.",4
Columbia Men Black FACET 60 OUTDRY (Complete Waterproof),Men,3,"15,999",2,"Black, Red Jasper", BM3530-010,12,"['UK-7', 'UK-8']",Fluidframe multidensity underfoot support,"Omni-Grip™ non-marking traction rubber
Fluidframe multidensity underfoot support
Navic Fit System™ delivers a natural midfoot lock down
OutDry™? breathable waterproof protection
TECHLITE PLUS+™ delivers responsive cushioning and stability, without sacr",5
Columbia Men Grey FACET 60 OUTDRY (Complete Waterproof),Men,3,"15,999",3,"Dark Grey, Silver Grey", BM3530-089,12,"['UK-8', 'UK-9', 'UK-10']",Navic Fit Systemdelivers a natural midfoot lock down,"Omni-Gripnon-marking traction rubber
Navic Fit Systemdelivers a natural midfoot lock down
OutDry™? breathable waterproof protection
TECHLITE PLUS+delivers responsive cushioning and stability, without sacrificing comfort
Seamless mesh construction with",5
Columbia Men Orange FACET 60 OUTDRY (Complete Waterproof),Men,3,"15,999",1,"Warm Copper, Black", BM3530-858,19,['UK-9'],Navic Fit System™ delivers a natural midfoot lock down.,"Omni-Grip™ non-marking traction rubber.
Navic Fit System™ delivers a natural midfoot lock down.
OutDry™? breathable waterproof protection.
TECHLITE PLUS+™ delivers responsive cushioning and stability
without sacrificing comfort.
Seamless mesh construction",5
Columbia Men Grey PEAKFREAK X2 OUTDRY (Complete Waterproof),Men,2,"10,999",1,"Graphite, Dark Adobe", BM0829-053,0,['UK-10'],"Techlitelightweight midsole for long lasting comfort, superior cushioning, and high energy return","Omni-Gripnon-marking traction rubber
Techlitelightweight midsole for long lasting comfort, superior cushioning, and high energy return
Textile upper with welded synthetic overlays. OutDrybreathable waterproof construction.",0
Columbia Men Blue PEAKFREAK X2 OUTDRY (Complete Waterproof),Men,2,"10,999",3,"Abyss, Fission", BM0829-439,0,"['UK-7', 'UK-8', 'UK-9']","Techlitelightweight midsole for long lasting comfort, superior cushioning, and high energy return","Omni-Gripnon-marking traction rubber
Techlitelightweight midsole for long lasting comfort, superior cushioning, and high energy return
Textile upper with welded synthetic overlays. OutDrybreathable waterproof construction.",0
Columbia Men BLACK Thrive Revive,Men,3,"6,499",2,"Black, Black", BM8043-010,26,"['UK-7', 'UK-9']",Techlite plus Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail,"Adapt Trax outsole provides exceptional traction in wet and dry conditions
Techlite plus Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail
Seamless mesh with asy",5
Columbia Men BROWN Thrive Revive,Men,3,"6,499",3,"Dark Stone, Dark Stone", BM8043-278,26,"['UK-8', 'UK-9', 'UK-10']",Techlite plus Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail,"Adapt Trax outsole provides exceptional traction in wet and dry conditions
Techlite plus Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail
Seamless mesh with asy",5
Columbia Men GREEN Thrive Revive,Men,3,"6,499",3,"Mosstone, Mosstone", BM8043-302,24,"['UK-8', 'UK-9', 'UK-10']",Techlite plus Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail,"Adapt Trax outsole provides exceptional traction in wet and dry conditions
Techlite plus Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail
Seamless mesh with asy",5
Columbia Men Black STRATA TRAIL MID WP,Men,1,"7,999",7,"Black, Owl", YM8651-010,0,"['UK-7', 'UK-8', 'UK-9', 'UK-10', 'UK-12', 'UK-13', 'UK-14']",NA,NA,0
Columbia Men Grey PEAKFREAK X2 OUTDRY (Complete Waterproof),Men,2,"10,999",1,"Graphite, Dark Adobe", BM0829-053,0,['UK-10'],"Techlitelightweight midsole for long lasting comfort, superior cushioning, and high energy return","Omni-Gripnon-marking traction rubber
Techlitelightweight midsole for long lasting comfort, superior cushioning, and high energy return
Textile upper with welded synthetic overlays. OutDrybreathable waterproof construction.",0
Columbia Men Blue PEAKFREAK X2 OUTDRY (Complete Waterproof),Men,2,"10,999",3,"Abyss, Fission", BM0829-439,0,"['UK-7', 'UK-8', 'UK-9']","Techlitelightweight midsole for long lasting comfort, superior cushioning, and high energy return","Omni-Gripnon-marking traction rubber
Techlitelightweight midsole for long lasting comfort, superior cushioning, and high energy return
Textile upper with welded synthetic overlays. OutDrybreathable waterproof construction.",0
Columbia Men Black TRAILSTORM Water Resistant Shoes,Men,3,"8,999",1,"Black, Solar", BM0156-010,42,['UK-9.5'],Adapt Trax™? outsole provides exceptional traction in wet and dry conditions,"Navic Fit System™ delivers a natural midfoot lock down
Adapt Trax™? outsole provides exceptional traction in wet and dry conditions
4 mm outsole lugs with angular front and rear orientations provide the optimal balance between traction and durability",4
Columbia Men Green TRAILSTORM Water Resistant Shoes,Men,3,"8,999",1,"Dark Moss, Mango", BM0156-367,34,['UK-9'],4 mm outsole lugs with angular front and rear orientations provide the optimal balance between traction and durability on multi-directional terrain,"Adapt Traxoutsole provides exceptional traction in wet and dry conditions
4 mm outsole lugs with angular front and rear orientations provide the optimal balance between traction and durability on multi-directional terrain
TECHLITE PLUS+Single density foam",4
Columbia Men Blue TRAILSTORM Water Resistant Shoes,Men,3,"8,999",1,"Dark Mountain, Steam", BM0156-478,34,['UK-11'],4 mm outsole lugs with angular front and rear orientations provide the optimal balance between traction and durability on multi-directional terrain,"Adapt Traxoutsole provides exceptional traction in wet and dry conditions
4 mm outsole lugs with angular front and rear orientations provide the optimal balance between traction and durability on multi-directional terrain
TECHLITE PLUS+Single density foam",4
Columbia Men Black TRAILSTORM MID Water Resistant Shoes,Men,1,"9,999",1,"Kettle, Mountain Red", BM0155-005,69,['UK-8'],4 mm outsole lugs with angular front and rear orientations provide the optimal balance between traction and durability on multi-directional terrain,"Adapt Traxoutsole provides exceptional traction in wet and dry conditions
4 mm outsole lugs with angular front and rear orientations provide the optimal balance between traction and durability on multi-directional terrain
TECHLITE PLUS+Single density foam",4
