Review,Size,Comfort,Features,star_rating
119,"['6', '7', '8']","Take comfort, convenience, support, and stability to the max wearing Skechers Hands Free Slip-ins®: Max Cushioning® Arch Fit® - Fluidity. This technology brimmed walking design features a Skechers Hands Free Slip-ins® heel panel with our exclusive Heel Pillow™, a laceless Stretch Fit® upper, removable Arch Fit® insole, and a Skechers Max Cushioning® platform midsole - all on a Goodyear® Anti-Slip rubber outsole.","Skechers Hands Free Slip-ins® for an easy fit
Exclusive Heel Pillow™ holds your foot securely in place
Patented Skechers Arch Fit® insole system with podiatrist-certified arch support developed with 20 years of data and 120,000 unweighted foot scans
Removable insole helps mold to your foot to reduce shock and increase weight dispersion
Skechers Max Cushioning® design for exceptional comfort and support",4.5
NA,"['6', '7']","Make each step a cloud stroll of ease and comfort wearing Skechers Hands Free Slip-ins™ Relaxed Fit®: D'Lux Walker - Homebound. This vegan walking design features a Stretch Fit® upper, well-cushioned reactive midsole, and an Air-Cooled Memory Foam® comfort insole.","Skechers Hands Free Slip-ins™ for an easy fit
Exclusive Heel Pillow™ holds your foot securely in place
Relaxed Fit® for a roomy comfort fit at toe and forefoot
Stretch Fit® design for sock-like comfort
Air-Cooled Memory Foam® cushioned comfort insole
Crafted with 100% vegan materials",NA
NA,"['6', '7']","Make each step a cloud stroll of ease and comfort wearing Skechers Hands Free Slip-ins™ Relaxed Fit®: D'Lux Walker - Homebound. This vegan walking design features a Stretch Fit® upper, well-cushioned reactive midsole, and an Air-Cooled Memory Foam® comfort insole.","Skechers Hands Free Slip-ins™ for an easy fit
Exclusive Heel Pillow™ holds your foot securely in place
Relaxed Fit® for a roomy comfort fit at toe and forefoot
Stretch Fit® design for sock-like comfort
Air-Cooled Memory Foam® cushioned comfort insole
Crafted with 100% vegan materials",0.0
NA,"['6', '7']","Make each step a cloud stroll of ease and comfort wearing Skechers Hands Free Slip-ins™ Relaxed Fit®: D'Lux Walker - Homebound. This vegan walking design features a Stretch Fit® upper, well-cushioned reactive midsole, and an Air-Cooled Memory Foam® comfort insole.","Skechers Hands Free Slip-ins™ for an easy fit
Exclusive Heel Pillow™ holds your foot securely in place
Relaxed Fit® for a roomy comfort fit at toe and forefoot
Stretch Fit® design for sock-like comfort
Air-Cooled Memory Foam® cushioned comfort insole
Crafted with 100% vegan materials",0.0
119,"['6', '7', '8']","Take comfort, convenience, support, and stability to the max wearing Skechers Hands Free Slip-ins®: Max Cushioning® Arch Fit® - Fluidity. This technology brimmed walking design features a Skechers Hands Free Slip-ins® heel panel with our exclusive Heel Pillow™, a laceless Stretch Fit® upper, removable Arch Fit® insole, and a Skechers Max Cushioning® platform midsole - all on a Goodyear® Anti-Slip rubber outsole.","Skechers Hands Free Slip-ins® for an easy fit
Exclusive Heel Pillow™ holds your foot securely in place
Patented Skechers Arch Fit® insole system with podiatrist-certified arch support developed with 20 years of data and 120,000 unweighted foot scans
Removable insole helps mold to your foot to reduce shock and increase weight dispersion
Skechers Max Cushioning® design for exceptional comfort and support",4.5
3,"['6', '7']","Sporty glitz and convenience are paired with incredible comfort in Skechers Hands Free Slip-ins™: Ultra Flex 3.0 - Glitter Me. Designed with our exclusive Heel Pillow™, this Touchless Fit™ style features a Skechers Slip-ins™ pop-up molded heel panel, a Stretch Fit® mesh upper, and a cushioned Skechers Air-Cooled Memory Foam® insole.","Skechers Hands Free Slip-ins™ for an easy fit
Exclusive Heel Pillow™ holds your foot securely in place
Skechers Air-Cooled Memory Foam® cushioned comfort insole
Stretch Fit® design for sock-like comfort
Crafted with 100% vegan materials",4.7
3,"['6', '7']","Sporty glitz and convenience are paired with incredible comfort in Skechers Hands Free Slip-ins™: Ultra Flex 3.0 - Glitter Me. Designed with our exclusive Heel Pillow™, this Touchless Fit™ style features a Skechers Slip-ins™ pop-up molded heel panel, a Stretch Fit® mesh upper, and a cushioned Skechers Air-Cooled Memory Foam® insole.","Skechers Hands Free Slip-ins™ for an easy fit
Exclusive Heel Pillow™ holds your foot securely in place
Skechers Air-Cooled Memory Foam® cushioned comfort insole
Stretch Fit® design for sock-like comfort
Crafted with 100% vegan materials",4.7
3,"['6', '7']","Sporty glitz and convenience are paired with incredible comfort in Skechers Hands Free Slip-ins™: Ultra Flex 3.0 - Glitter Me. Designed with our exclusive Heel Pillow™, this Touchless Fit™ style features a Skechers Slip-ins™ pop-up molded heel panel, a Stretch Fit® mesh upper, and a cushioned Skechers Air-Cooled Memory Foam® insole.","Skechers Hands Free Slip-ins™ for an easy fit
Exclusive Heel Pillow™ holds your foot securely in place
Skechers Air-Cooled Memory Foam® cushioned comfort insole
Stretch Fit® design for sock-like comfort
Crafted with 100% vegan materials",4.7
87,"['6', '10']",Step into stylish comfort with Skechers Hands Free Slip-ins™: On-the-GO® Flex - Serene. Designed with our exclusive Heel Pillow™. This laceless style features a Stretch Fit® mesh upper with a Skechers Air-Cooled Memory Foam® comfort insole and a lightweight ULTRA GO® cushioned midsole.,"Skechers Hands Free Slip-ins™ for an easy fit
Exclusive Heel Pillow™ holds your foot securely in place
Lightweight, responsive ULTRA GO® cushioning
Stretch Fit® design for sock-like comfort
Skechers Air-Cooled Memory Foam® cushioned comfort insole",4.3
87,[],Step into stylish comfort with Skechers Hands Free Slip-ins™: On-the-GO® Flex - Serene. Designed with our exclusive Heel Pillow™. This laceless style features a Stretch Fit® mesh upper with a Skechers Air-Cooled Memory Foam® comfort insole and a lightweight ULTRA GO® cushioned midsole.,"Skechers Hands Free Slip-ins™ for an easy fit
Exclusive Heel Pillow™ holds your foot securely in place
Lightweight, responsive ULTRA GO® cushioning
Stretch Fit® design for sock-like comfort
Skechers Air-Cooled Memory Foam® cushioned comfort insole",4.3
964,"['6', '7']","TOUCHLESS FIT™ Step into effortless comfort with Skechers Hands Free Slip-ins™: Ultra Flex 3.0 - Brilliant Path. Designed with a unique Comfort Pillow™ in the heel. This style features a Stretch Fit® engineered knit upper with deco laces, plus a cushioned Skechers Air-Cooled Memory Foam® insole.","Skechers Hands Free Slip-ins™ for an easy fit
Unique Comfort Pillow™ design in the heel adds pleasure with every step
Skechers Air-Cooled Memory Foam® cushioned comfort insole
Stretch Fit® design for sock-like comfort
Crafted with 100% vegan materials",4.7
18,"['7', '8']",Rock 'n Roll's most iconic logo takes center stage in this exciting collaboration! Get ready to rock out in style and comfort wearing Skechers Street™ x The Rolling Stones: Uno - Rolling Stones Single! This lace-up features The Rolling Stones' 'Lick' logo on a synthetic durabuck upper with perforated details. This design is complete with a cushioned Skechers Air-Cooled Memory Foam® insole and a translucent Skech-Air® airbag midsole.,"From the Skechers x The Rolling Stones collab featuring The Rolling Stones' iconic 'Lick' logo
Skechers Air-Cooled Memory Foam® comfort insole
Skech-Air® visible clear airbag midsole",4.9
3,"['6', '7', '8', '9', '10']","Get ready to move in lightweight supportive comfort with Skechers GO RUN® Persistence. This neutral, well-cushioned carbon infused running design features a breathable engineered mesh and synthetic upper with a removable Arch Fit® insole, ULTRA FLIGHT® cushioning and a Goodyear® Performance Outsole.","Patented Skechers Arch Fit® insole system with podiatrist-certified arch support
Podiatrist-designed shape developed with 20 years of data and 120,000 unweighted foot scans
Removable insole helps mold to your foot to reduce shock and increase weight dispersion
Carbon Infused Pebax material
Skechers HYPER ARC™ adapts to your stride to promote a smoother transition for a more efficient run
Ultra-lightweight, responsive ULTRA FLIGHT® cushioning",5
3,"['6', '7', '8', '9']","Get ready to move in lightweight supportive comfort with Skechers GO RUN® Persistence. This neutral, well-cushioned carbon infused running design features a breathable engineered mesh and synthetic upper with a removable Arch Fit® insole, ULTRA FLIGHT® cushioning and a Goodyear® Performance Outsole.","Patented Skechers Arch Fit® insole system with podiatrist-certified arch support
Podiatrist-designed shape developed with 20 years of data and 120,000 unweighted foot scans
Removable insole helps mold to your foot to reduce shock and increase weight dispersion
Carbon Infused Pebax material
Skechers HYPER ARC™ adapts to your stride to promote a smoother transition for a more efficient run
Ultra-lightweight, responsive ULTRA FLIGHT® cushioning",5
3,"['6', '7', '8', '9', '10']","Get ready to move in lightweight supportive comfort with Skechers GO RUN® Persistence. This neutral, well-cushioned carbon infused running design features a breathable engineered mesh and synthetic upper with a removable Arch Fit® insole, ULTRA FLIGHT® cushioning and a Goodyear® Performance Outsole.","Patented Skechers Arch Fit® insole system with podiatrist-certified arch support
Podiatrist-designed shape developed with 20 years of data and 120,000 unweighted foot scans
Removable insole helps mold to your foot to reduce shock and increase weight dispersion
Carbon Infused Pebax material
Skechers HYPER ARC™ adapts to your stride to promote a smoother transition for a more efficient run
Ultra-lightweight, responsive ULTRA FLIGHT® cushioning",5
26,"['7', '8']","Jen Stark brings her hypnotic and captivating colorful patterns to Skechers Street™ in this creative collaboration. The eye-catching Skechers Street™ x Jen Stark: Uno features the artist's signature drip design on a synthetic durabuck upper with a Skechers Air-Cooled Memory Foam® insole, and a visible Skech-Air® airbag midsole.","Synthetic durabuck upper with a lace-up front
Flexible traction outsole
1 1/2-inch heel
Skechers® logo detail",4.2
26,"['7', '8']","Jen Stark brings her hypnotic and captivating colorful patterns to Skechers Street™ in this creative collaboration. The eye-catching Skechers Street™ x Jen Stark: Uno features the artist's signature drip design on a synthetic durabuck upper with a Skechers Air-Cooled Memory Foam® insole, and a visible Skech-Air® airbag midsole.","Synthetic durabuck upper with a lace-up front
Flexible traction outsole
1 1/2-inch heel
Skechers® logo detail",4.2
9,"['7', '8']",Rock 'n Roll's most iconic logo takes center stage in this exciting collaboration! Get ready to rock out in style and comfort wearing Skechers Street™ x The Rolling Stones: Uno - Say It Loud. This lace-up features The Rolling Stones' 'Lick' logo allover print on a synthetic durabuck upper with perforated details. This design is complete with a cushioned Skechers Air-Cooled Memory Foam® insole and a translucent Skech-Air® airbag midsole.,"From the Skechers x The Rolling Stones collab featuring The Rolling Stones' iconic 'Lick' logo
Skechers Air-Cooled Memory Foam® comfort insole
Skech-Air® translucent airbag midsole",5
26,"['7', '8']","Jen Stark brings her hypnotic and captivating colorful patterns to Skechers Street™ in this creative collaboration. The eye-catching Skechers Street™ x Jen Stark: Uno features the artist's signature drip design on a synthetic durabuck upper with a Skechers Air-Cooled Memory Foam® insole, and a visible Skech-Air® airbag midsole.","Synthetic durabuck upper with a lace-up front
Flexible traction outsole
1 1/2-inch heel
Skechers® logo detail",4.2
6,"['6', '7']",Rock 'n Roll's most iconic logo takes center stage in this exciting collaboration! Step out with the greatest Licks wearing Skechers Street™ x The Rolling Stones: Roadies Surge. This fashion high-top features The Rolling Stones' 'Lick' logo on a canvas upper with a synthetic rubber toecap and double laces printed with legendary lyrics from The Rolling Stones. This style is complete with a cushioned Skechers Air-Cooled Memory Foam® insole and our classic lug sole,"From the Skechers x The Rolling Stones collab featuring The Rolling Stones' iconic 'Lick' logo
Printed laces with famous lyrics from The Rolling Stones
Skechers Air-Cooled Memory Foam® cushioned comfort insole
Responsive, lightweight Dual-Lite® cushioning
Crafted with 100% vegan materials",5
3,"['6', '7']","Experience total comfort and sleek lightweight style wearing Skechers Vapor Foam™ - True Classic. This laceless design features a Stretch Fit® engineered knit upper with a cushioned Skechers Air-Cooled Memory Foam® insole, plus a super lightweight Vapor Foam™ midsole.","Ultra-lightweight Vapor Foam™ cushioning
Skechers Air-Cooled Memory Foam® comfort insole
Stretch Fit® design for sock-like comfort
Crafted with 100% vegan materials",5
3,"['6', '7', '8']","Experience total comfort and sleek lightweight style wearing Skechers Vapor Foam™ - True Classic. This laceless design features a Stretch Fit® engineered knit upper with a cushioned Skechers Air-Cooled Memory Foam® insole, plus a super lightweight Vapor Foam™ midsole.","Ultra-lightweight Vapor Foam™ cushioning
Skechers Air-Cooled Memory Foam® comfort insole
Stretch Fit® design for sock-like comfort
Crafted with 100% vegan materials",5
26,"['6', '7', '8', '9', '10']","Add more response and cushion to your run with the Skechers GOrun Power™. Features lightweight, responsive ULTRA FLIGHT™ cushioning for maximum comfort. Lace up neutral cushioned running shoe design with Goodyear® Rubber outsole pillars.","Soft woven athletic engineered knit mesh fabric upper
Lace up front neutral, maximum cushioned running shoe design
Haptic-style tonal synthetic hot melt chevron overlays on side panels
Side S logo
Heel fabric overlay panel with top pull-on loop
Reinforced lace up front
Soft padded collar and tongue for supreme comfort
Natural expansion provides a comfortable, natural fit",4.5
26,"['6', '7', '8', '9', '10']","Add more response and cushion to your run with the Skechers GOrun Power™. Features lightweight, responsive ULTRA FLIGHT™ cushioning for maximum comfort. Lace up neutral cushioned running shoe design with Goodyear® Rubber outsole pillars.","Soft woven athletic engineered knit mesh fabric upper
Lace up front neutral, maximum cushioned running shoe design
Haptic-style tonal synthetic hot melt chevron overlays on side panels
Side S logo
Heel fabric overlay panel with top pull-on loop
Reinforced lace up front
Soft padded collar and tongue for supreme comfort
Natural expansion provides a comfortable, natural fit",4.5
14,"['5', '6', '7', '8', '9', '10']","Go the distance in long-lasting support and comfort wearing Skechers GO RUN® Pure 3. This lace-up features an engineered mesh upper with a removable Arch Fit® insole, Skechers HYPER ARC™ for an efficient run, ultra-lightweight ULTRA FLIGHT® cushioning, plus a Goodyear® Performance Outsole.","Patented Skechers Arch Fit® insole system with podiatrist-certified arch support
Podiatrist-designed shape developed with 20 years of data and 120,000 unweighted foot scans
Removable insole helps mold to your foot to reduce shock and increase weight dispersion
Skechers HYPER ARC™ adapts to your stride to promote a smoother transition for a more efficient run
Ultra-lightweight, responsive ULTRA FLIGHT® cushioning
Goodyear® Performance Outsole delivers enhanced traction, stability and durability",4.9
14,"['5', '6', '7', '8', '9', '10']","Go the distance in long-lasting support and comfort wearing Skechers GO RUN® Pure 3. This lace-up features an engineered mesh upper with a removable Arch Fit® insole, Skechers HYPER ARC™ for an efficient run, ultra-lightweight ULTRA FLIGHT® cushioning, plus a Goodyear® Performance Outsole.","Patented Skechers Arch Fit® insole system with podiatrist-certified arch support
Podiatrist-designed shape developed with 20 years of data and 120,000 unweighted foot scans
Removable insole helps mold to your foot to reduce shock and increase weight dispersion
Skechers HYPER ARC™ adapts to your stride to promote a smoother transition for a more efficient run
Ultra-lightweight, responsive ULTRA FLIGHT® cushioning
Goodyear® Performance Outsole delivers enhanced traction, stability and durability",4.9
14,['6'],"Go the distance in long-lasting support and comfort wearing Skechers GO RUN® Pure 3. This lace-up features an engineered mesh upper with a removable Arch Fit® insole, Skechers HYPER ARC™ for an efficient run, ultra-lightweight ULTRA FLIGHT® cushioning, plus a Goodyear® Performance Outsole.","Patented Skechers Arch Fit® insole system with podiatrist-certified arch support
Podiatrist-designed shape developed with 20 years of data and 120,000 unweighted foot scans
Removable insole helps mold to your foot to reduce shock and increase weight dispersion
Skechers HYPER ARC™ adapts to your stride to promote a smoother transition for a more efficient run
Ultra-lightweight, responsive ULTRA FLIGHT® cushioning
Goodyear® Performance Outsole delivers enhanced traction, stability and durability",4.9
72,"['6', '7', '8', '9', '10']","Internationally renowned muralist James Goldcrown brings his iconic #Lovewall heart designs to Skechers in this inspiring collaboration. Show your creative style with the Skechers x JGoldcrown: Skechers Street Uno Spread the Love shoe. This lace-up fashion sneaker features an allover print of the artist€™s signature heart design that extends to the outsole, synthetic duraleather and perforated trimmed upper with an Air-Cooled Memory Foam® insole, and a platform wedge with visible Skech-Air® air-cushioned midsole.","From the Skechers x JGoldcrown collab featuring the muralist's iconic #Lovewall design
Air-Cooled Memory Foam® comfort insole
Skech-Air® visible air-cushioned midsole",4.6
72,"['6', '7']","Internationally renowned muralist James Goldcrown brings his iconic #Lovewall heart designs to Skechers in this inspiring collaboration. Show your creative style with the Skechers x JGoldcrown: Skechers Street Uno Spread the Love shoe. This lace-up fashion sneaker features an allover print of the artist€™s signature heart design that extends to the outsole, synthetic duraleather and perforated trimmed upper with an Air-Cooled Memory Foam® insole, and a platform wedge with visible Skech-Air® air-cushioned midsole.","From the Skechers x JGoldcrown collab featuring the muralist's iconic #Lovewall design
Air-Cooled Memory Foam® comfort insole
Skech-Air® visible air-cushioned midsole",4.6
72,"['6', '7']","Internationally renowned muralist James Goldcrown brings his iconic #Lovewall heart designs to Skechers in this inspiring collaboration. Show your creative style with the Skechers x JGoldcrown: Skechers Street Uno Spread the Love shoe. This lace-up fashion sneaker features an allover print of the artist€™s signature heart design that extends to the outsole, synthetic duraleather and perforated trimmed upper with an Air-Cooled Memory Foam® insole, and a platform wedge with visible Skech-Air® air-cushioned midsole.","From the Skechers x JGoldcrown collab featuring the muralist's iconic #Lovewall design
Air-Cooled Memory Foam® comfort insole
Skech-Air® visible air-cushioned midsole",4.6
1610,"['6', '7', '8']","Classic air-cushioned comfort gets a fresh update in Skechers Street™ Uno - Stand on Air. This lace-up fashion style features a smooth perforated synthetic upper with an Air-Cooled Memory Foam insole, and a Skech-Air visible air-cushioned midsole.","Skechers Air-Cooled Memory Foam® cushioned comfort insole
Skech-Air® visible air-cushioned midsole",4.3
1610,[],"Classic air-cushioned comfort gets a fresh update in Skechers Street™ Uno - Stand on Air. This lace-up fashion style features a smooth perforated synthetic upper with an Air-Cooled Memory Foam insole, and a Skech-Air visible air-cushioned midsole.","Skechers Air-Cooled Memory Foam® cushioned comfort insole
Skech-Air® visible air-cushioned midsole",4.3
1610,[],"Classic air-cushioned comfort gets a fresh update in Skechers Street™ Uno - Stand on Air. This lace-up fashion style features a smooth perforated synthetic upper with an Air-Cooled Memory Foam insole, and a Skech-Air visible air-cushioned midsole.","Skechers Air-Cooled Memory Foam® cushioned comfort insole
Skech-Air® visible air-cushioned midsole",4.3
1610,"['5', '8', '10']","Classic air-cushioned comfort gets a fresh update in Skechers Street™ Uno - Stand on Air. This lace-up fashion style features a smooth perforated synthetic upper with an Air-Cooled Memory Foam insole, and a Skech-Air visible air-cushioned midsole.","Skechers Air-Cooled Memory Foam® cushioned comfort insole
Skech-Air® visible air-cushioned midsole",4.3
1610,"['5', '6', '7', '8', '9', '10']","Classic air-cushioned comfort gets a fresh update in Skechers Street™ Uno - Stand on Air. This lace-up fashion style features a smooth perforated synthetic upper with an Air-Cooled Memory Foam insole, and a Skech-Air visible air-cushioned midsole.","Skechers Air-Cooled Memory Foam® cushioned comfort insole
Skech-Air® visible air-cushioned midsole",4.3
1610,[],"Classic air-cushioned comfort gets a fresh update in Skechers Street™ Uno - Stand on Air. This lace-up fashion style features a smooth perforated synthetic upper with an Air-Cooled Memory Foam insole, and a Skech-Air visible air-cushioned midsole.","Skechers Air-Cooled Memory Foam® cushioned comfort insole
Skech-Air® visible air-cushioned midsole",4.3
1610,"['6', '7']","Classic air-cushioned comfort gets a fresh update in Skechers Street™ Uno - Stand on Air. This lace-up fashion style features a smooth perforated synthetic upper with an Air-Cooled Memory Foam insole, and a Skech-Air visible air-cushioned midsole.","Skechers Air-Cooled Memory Foam® cushioned comfort insole
Skech-Air® visible air-cushioned midsole",4.3
1610,"['6', '7', '8', '9', '10']","Classic air-cushioned comfort gets a fresh update in Skechers Street™ Uno - Stand on Air. This lace-up fashion style features a smooth perforated synthetic upper with an Air-Cooled Memory Foam insole, and a Skech-Air visible air-cushioned midsole.","Skechers Air-Cooled Memory Foam® cushioned comfort insole
Skech-Air® visible air-cushioned midsole",4.3
1610,[],"Classic air-cushioned comfort gets a fresh update in Skechers Street™ Uno - Stand on Air. This lace-up fashion style features a smooth perforated synthetic upper with an Air-Cooled Memory Foam insole, and a Skech-Air visible air-cushioned midsole.","Skechers Air-Cooled Memory Foam® cushioned comfort insole
Skech-Air® visible air-cushioned midsole",4.3
1610,"['6', '7', '8', '9', '10']","Classic air-cushioned comfort gets a fresh update in Skechers Street™ Uno - Stand on Air. This lace-up fashion style features a smooth perforated synthetic upper with an Air-Cooled Memory Foam insole, and a Skech-Air visible air-cushioned midsole.","Skechers Air-Cooled Memory Foam® cushioned comfort insole
Skech-Air® visible air-cushioned midsole",4.3
1610,[],"Classic air-cushioned comfort gets a fresh update in Skechers Street™ Uno - Stand on Air. This lace-up fashion style features a smooth perforated synthetic upper with an Air-Cooled Memory Foam insole, and a Skech-Air visible air-cushioned midsole.","Skechers Air-Cooled Memory Foam® cushioned comfort insole
Skech-Air® visible air-cushioned midsole",4.3
1610,"['6', '7', '8', '9', '10']","Classic air-cushioned comfort gets a fresh update in Skechers Street™ Uno - Stand on Air. This lace-up fashion style features a smooth perforated synthetic upper with an Air-Cooled Memory Foam insole, and a Skech-Air visible air-cushioned midsole.","Skechers Air-Cooled Memory Foam® cushioned comfort insole
Skech-Air® visible air-cushioned midsole",4.3
17,"['6', '7', '8', '9', '10']","Internationally renowned muralist James Goldcrown brings his iconic #Lovewall heart designs to Skechers in this inspiring collaboration. Walk with 'Love' wherever you go in the Skechers x JGoldcrown: Skechers Street™ Uno - Highlight Love. This lace-up fashion sneaker features the artist's signature heart print trim, synthetic durabuck and perforated trimmed upper with a Skechers Air-Cooled Memory Foam® insole, and a platform wedge with visible Skech-Air® air-cushioned midsole.","From the Skechers x JGoldcrown collab featuring the muralist's iconic #Lovewall design
Skechers Air-Cooled Memory Foam® comfort insole
Skech-Air® visible air-cushioned midsole",4.8
17,[],"Internationally renowned muralist James Goldcrown brings his iconic #Lovewall heart designs to Skechers in this inspiring collaboration. Walk with 'Love' wherever you go in the Skechers x JGoldcrown: Skechers Street™ Uno - Highlight Love. This lace-up fashion sneaker features the artist's signature heart print trim, synthetic durabuck and perforated trimmed upper with a Skechers Air-Cooled Memory Foam® insole, and a platform wedge with visible Skech-Air® air-cushioned midsole.","From the Skechers x JGoldcrown collab featuring the muralist's iconic #Lovewall design
Skechers Air-Cooled Memory Foam® comfort insole
Skech-Air® visible air-cushioned midsole",4.8
NA,"['6', '7', '8', '9', '10']","Stand out with retro style and comfort in Skechers Street™ Uno 2 - 90's 2. This lace-up fashion sneaker features a duraleather and mesh upper with hot melt trim, a Skechers Air-Cooled Memory Foam® insole, and a visible Skech-Air® midsole.","Skechers Air-Cooled Memory Foam® comfort insole
Skech-Air® visible airbag midsole",NA
NA,"['6', '7', '8', '9', '10']","Experience the sporty looks of a revitalized iconic design with Skechers D'Lites® Wave - Always Better. This fashion lace-up features a canvas, suede and hotmelt overlay upper with a cushioned Air-Cooled Memory Foam® insole, and a Goodyear® Performance Outsole.","Skechers Air-Cooled Memory Foam® cushioned comfort insole
Goodyear® Performance Outsole delivers enhanced traction, stability and durability",NA
NA,"['6', '7', '8', '9']","Experience the sporty looks of a revitalized iconic design with Skechers D'Lites® Wave - Always Better. This fashion lace-up features a canvas, suede and hotmelt overlay upper with a cushioned Air-Cooled Memory Foam® insole, and a Goodyear® Performance Outsole.","Skechers Air-Cooled Memory Foam® cushioned comfort insole
Goodyear® Performance Outsole delivers enhanced traction, stability and durability",0.0
NA,"['6', '7', '8', '9', '10']","Stand out with retro style and comfort in Skechers Street™ Uno 2 - 90's 2. This lace-up fashion sneaker features a duraleather and mesh upper with hot melt trim, a Skechers Air-Cooled Memory Foam® insole, and a visible Skech-Air® midsole.","Skechers Air-Cooled Memory Foam® comfort insole
Skech-Air® visible airbag midsole",0.0
